"player_name","player_id","game_year","woba_denom","bbe","woba","est_woba","xwoba","sa_xwoba","xwobacon","sa_xwobacon"
"Pujols, Albert",405395,2020,159,125,0.282,0.299,0.293,0.325,40.275993401025,45.3128965040042
"Pujols, Albert",405395,2021,293,232,0.302,0.322,0.327,0.336,84.6321355334026,87.1846498963167
"Pujols, Albert",405395,2022,350,258,0.38,0.365,0.374,0.392,105.123305153733,111.352527596701
"Cabrera, Miguel",408234,2020,228,153,0.323,0.379,0.376,0.375,69.0283364992899,68.7430106583566
"Cabrera, Miguel",408234,2021,521,358,0.305,0.315,0.324,0.33,137.524578667731,140.677227090609
"Cabrera, Miguel",408234,2022,428,299,0.275,0.275,0.285,0.285,102.346212319451,102.544075572956
"Cabrera, Miguel",408234,2023,369,263,0.299,0.301,0.304,0.313,88.9259552408014,92.2381441848294
"Mathis, Jeff",425772,2020,67,38,0.245,0.281,0.266,0.257,14.3207095294305,13.7518531624614
"Choo, Shin-Soo",425783,2020,126,79,0.312,0.34,0.342,0.333,33.305400426939,32.218624553012
"Rivera, René",425784,2021,75,43,0.288,0.263,0.282,0.287,16.9805849916865,17.3008993250254
"Wainwright, Adam",425794,2021,60,46,0.149,0.176,0.25,0.232,12.8825755695507,11.8485740977709
"Molina, Yadier",425877,2020,155,126,0.29,0.298,0.29,0.305,38.6660563574272,40.9087478993991
"Molina, Yadier",425877,2021,471,362,0.29,0.306,0.307,0.312,125.19229177167,127.158010243202
"Molina, Yadier",425877,2022,270,223,0.235,0.254,0.257,0.267,64.4285980772735,67.2308402942346
"Canó, Robinson",429664,2020,181,148,0.376,0.353,0.356,0.354,58.0546742529361,57.8133344011271
"Canó, Robinson",429664,2022,104,75,0.169,0.237,0.249,0.253,23.052144676777,23.4779278118628
"Encarnación, Edwin",429665,2020,181,106,0.272,0.277,0.269,0.284,34.7077252565835,37.4394610941301
"Kendrick, Howie",435062,2020,98,76,0.298,0.332,0.334,0.34,29.206021512542,29.8658339829757
"Walker, Neil",435522,2020,41,27,0.237,0.241,0.234,0.253,8.8920047573862,9.688828537601
"Suzuki, Kurt",435559,2020,129,95,0.326,0.308,0.306,0.317,28.9180455373154,30.4327216033359
"Suzuki, Kurt",435559,2021,244,178,0.282,0.264,0.269,0.293,49.6100516400805,55.4468878040401
"Suzuki, Kurt",435559,2022,158,113,0.254,0.255,0.266,0.265,30.1394455145195,29.9887823642205
"Cruz, Nelson",443558,2020,207,125,0.411,0.383,0.381,0.387,61.9888123737409,63.3111343945149
"Cruz, Nelson",443558,2021,574,396,0.346,0.363,0.369,0.367,178.179070085185,177.164095062188
"Cruz, Nelson",443558,2022,502,328,0.292,0.32,0.333,0.335,130.913542349841,131.792873686469
"Cruz, Nelson",443558,2023,151,98,0.291,0.297,0.304,0.318,40.9532942589076,43.1150263343087
"Peralta, David",444482,2020,216,158,0.333,0.299,0.31,0.304,57.7648325814269,56.6552869523469
"Peralta, David",444482,2021,533,395,0.314,0.293,0.31,0.314,133.239249217294,134.925423235891
"Peralta, David",444482,2022,485,330,0.315,0.313,0.33,0.315,131.814725569808,124.758835458642
"Peralta, David",444482,2023,420,327,0.29,0.309,0.326,0.329,122.272134596838,123.409720323795
"Piña, Manny",444489,2021,207,142,0.315,0.331,0.339,0.348,51.1867337149568,53.0524481645149
"Piña, Manny",444489,2022,16,13,0.187,0.298,0.315,0.296,3.6360655596261,3.33434724630419
"Piña, Manny",444489,2023,12,9,0.314,0.261,0.254,0.28,3.05245714956867,3.363799136228
"Escobar, Alcides",444876,2021,347,267,0.325,0.309,0.319,0.318,92.6012809740991,92.051423077277
"Escobar, Alcides",444876,2022,131,92,0.242,0.233,0.243,0.24,26.9207316406851,26.5490898602656
"Jay, Jon",445055,2020,57,41,0.199,0.275,0.268,0.194,12.4482221968899,8.23372369369332
"Jay, Jon",445055,2021,14,12,0.314,0.185,0.212,0.218,2.9729012132309,3.05332679025681
"Wieters, Matt",446308,2020,40,26,0.252,0.323,0.312,0.284,8.98700734348114,7.87891350929236
"Longoria, Evan",446334,2020,208,155,0.308,0.364,0.354,0.356,64.4352291577167,64.9712501624711
"Longoria, Evan",446334,2021,287,187,0.352,0.351,0.361,0.362,81.2977052515659,81.3936849322926
"Longoria, Evan",446334,2022,296,186,0.33,0.324,0.338,0.346,81.0809931275612,83.4306093087972
"Longoria, Evan",446334,2023,236,141,0.308,0.324,0.335,0.339,62.8637236291839,63.9332762072488
"Hill, Rich",448179,2021,24,16,0.11,0.086,0.133,0.142,3.19654477985703,3.41946481795646
"Davis, Chris",448801,2020,54,34,0.154,0.182,0.172,0.181,7.20708634562198,7.69381066597495
"Morton, Charlie",450203,2021,55,31,0.118,0.134,0.159,0.173,8.72074848407497,9.49066958006408
"Fowler, Dexter",451594,2020,101,62,0.31,0.292,0.279,0.284,20.4751647325623,21.0133521733267
"Flowers, Tyler",452095,2020,80,35,0.303,0.282,0.276,0.269,14.3687390630685,13.8111982423816
"Pence, Hunter",452254,2020,55,36,0.18,0.318,0.315,0.29,14.5134952545187,13.1657030454022
"Cabrera, Asdrúbal",452678,2020,212,153,0.319,0.317,0.31,0.298,52.4196745442404,49.8381369529579
"Cabrera, Asdrúbal",452678,2021,351,233,0.297,0.286,0.289,0.297,74.9146314350825,77.8075593834951
"Scherzer, Max",453286,2021,59,34,0,0.076,0.073,0.064,4.2783404766901,3.7650392801064
"Arrieta, Jake",453562,2021,26,11,0.182,0.15,0.187,0.191,2.76294793584117,2.86614899871424
"Blackmon, Charlie",453568,2020,242,181,0.34,0.331,0.325,0.325,66.7822462768502,66.755080600989
"Blackmon, Charlie",453568,2021,581,426,0.333,0.359,0.365,0.347,167.310734285553,156.856728952051
"Blackmon, Charlie",453568,2022,567,424,0.317,0.301,0.311,0.313,151.181285492544,152.154497836777
"Blackmon, Charlie",453568,2023,413,308,0.35,0.339,0.347,0.345,108.305142264604,107.539315385848
"Frazier, Todd",453943,2020,169,112,0.3,0.294,0.284,0.295,37.5760416766754,39.3584653559832
"Frazier, Todd",453943,2021,40,29,0.163,0.262,0.27,0.285,7.28474114258121,7.90849686584216
"Maldonado, Martín",455117,2020,163,86,0.326,0.316,0.312,0.32,31.3276157236443,32.6100428151457
"Maldonado, Martín",455117,2021,425,247,0.258,0.267,0.276,0.275,81.5348156030713,81.1705743922922
"Maldonado, Martín",455117,2022,374,233,0.264,0.253,0.264,0.267,78.3017428902337,79.6881666285006
"Maldonado, Martín",455117,2023,395,235,0.266,0.267,0.281,0.287,87.7535017741531,90.2475128639067
"Chirinos, Robinson",455139,2020,81,53,0.216,0.231,0.233,0.22,13.9822613857589,12.9048644071386
"Chirinos, Robinson",455139,2021,111,62,0.336,0.291,0.291,0.327,22.5118456353814,26.549601734008
"Chirinos, Robinson",455139,2022,219,130,0.251,0.245,0.25,0.265,38.7558464182016,42.0000333286447
"Markakis, Nick",455976,2020,140,106,0.307,0.31,0.318,0.316,36.8544625850262,36.5124200894454
"Kratz, Erik",456124,2020,30,22,0.335,0.294,0.293,0.312,7.39309777609565,7.95853311128383
"Cueto, Johnny",456501,2021,32,25,0.12,0.161,0.193,0.196,4.07278430981786,4.17300326165655
"Cain, Lorenzo",456715,2020,20,16,0.352,0.419,0.41,0.389,6.79801239748004,6.37065117040357
"Cain, Lorenzo",456715,2021,285,209,0.319,0.317,0.326,0.32,73.3431213726314,71.6175179426328
"Cain, Lorenzo",456715,2022,156,110,0.212,0.23,0.246,0.253,31.3448293523969,32.5059111466406
"Solano, Donovan",456781,2020,202,151,0.357,0.32,0.319,0.34,56.0543458088755,60.2976174891458
"Solano, Donovan",456781,2021,341,254,0.324,0.335,0.346,0.35,97.0527937355178,98.2085812743538
"Solano, Donovan",456781,2022,300,216,0.319,0.315,0.33,0.322,83.0328150087373,80.5356213989708
"Solano, Donovan",456781,2023,449,295,0.338,0.351,0.355,0.354,121.752962886629,121.2285509272
