"last_name, first_name",player_id,year,woba,est_woba,est_woba_minus_woba_diff
"Ozuna, Marcell",542303,2020,0.444,0.436,0.008
"Lindor, Francisco",596019,2020,0.324,0.346,-0.022
"Biggio, Cavan",624415,2020,0.355,0.315,0.04
"Merrifield, Whit",593160,2020,0.329,0.336,-0.007
"Swanson, Dansby",621020,2020,0.348,0.354,-0.006
"Abreu, José",547989,2020,0.411,0.399,0.012
"Freeman, Freddie",518692,2020,0.456,0.466,-0.01
"Hernández, César",514917,2020,0.335,0.33,0.005
"Story, Trevor",596115,2020,0.37,0.335,0.035
"Turner, Trea",607208,2020,0.413,0.383,0.03
"Tatis Jr., Fernando",665487,2020,0.392,0.422,-0.03
"Santana, Carlos",467793,2020,0.316,0.372,-0.056
"Ramírez, José",608070,2020,0.415,0.373,0.042
"Machado, Manny",592518,2020,0.391,0.388,0.003
"Grisham, Trent",663757,2020,0.349,0.368,-0.019
"Marte, Starling",516782,2020,0.333,0.326,0.007
"Muncy, Max",571970,2020,0.316,0.36,-0.044
"Devers, Rafael",646240,2020,0.337,0.328,0.009
"Seager, Kyle",572122,2020,0.338,0.365,-0.027
"Blackmon, Charlie",453568,2020,0.34,0.331,0.009
"Yelich, Christian",592885,2020,0.343,0.378,-0.035
"Hiura, Keston",669374,2020,0.304,0.318,-0.014
"Betts, Mookie",605141,2020,0.39,0.362,0.028
"Olson, Matt",621566,2020,0.316,0.34,-0.024
"Harper, Bryce",547180,2020,0.4,0.454,-0.054
"Franco, Maikel",596748,2020,0.329,0.307,0.022
"Rizzo, Anthony",519203,2020,0.326,0.355,-0.029
"Bellinger, Cody",641355,2020,0.337,0.374,-0.037
"Guerrero Jr., Vladimir",665489,2020,0.338,0.338,0
"Walker, Christian",572233,2020,0.339,0.339,0
"Canha, Mark",592192,2020,0.351,0.359,-0.008
"Castellanos, Nick",592206,2020,0.329,0.375,-0.046
"Lewis, Kyle",641786,2020,0.349,0.344,0.005
"Trout, Mike",545361,2020,0.407,0.428,-0.021
"Reyes, Franmil",614177,2020,0.341,0.342,-0.001
"McCutchen, Andrew",457705,2020,0.327,0.358,-0.031
"Alonso, Pete",624413,2020,0.342,0.334,0.008
"Gregorius, Didi",544369,2020,0.348,0.311,0.037
"Martinez, J.D.",502110,2020,0.29,0.318,-0.028
"Semien, Marcus",543760,2020,0.299,0.287,0.012
"Báez, Javier",595879,2020,0.256,0.275,-0.019
"Voit, Luke",572228,2020,0.393,0.389,0.004
"Solak, Nick",669256,2020,0.297,0.318,-0.021
"Conforto, Michael",624424,2020,0.401,0.374,0.027
"Mondesi, Adalberto",609275,2020,0.305,0.267,0.038
"Rendon, Anthony",543685,2020,0.395,0.39,0.005
"Seager, Corey",608369,2020,0.394,0.434,-0.04
"Crawford, J.P.",641487,2020,0.303,0.318,-0.015
"Rosario, Eddie",592696,2020,0.333,0.318,0.015
"Happ, Ian",664023,2020,0.369,0.362,0.007
"Alberto, Hanser",593643,2020,0.301,0.261,0.04
"Cabrera, Miguel",408234,2020,0.323,0.379,-0.056
"Suárez, Eugenio",553993,2020,0.332,0.342,-0.01
"Goldschmidt, Paul",502671,2020,0.387,0.396,-0.009
"Moncada, Yoán",660162,2020,0.309,0.29,0.019
"Grichuk, Randal",545341,2020,0.334,0.333,0.001
"Frazier, Adam",624428,2020,0.291,0.309,-0.018
"Fletcher, David",664058,2020,0.35,0.316,0.034
"Gurriel, Yuli",493329,2020,0.281,0.318,-0.037
"Davis, J.D.",605204,2020,0.339,0.359,-0.02
"Anderson, Brian",605119,2020,0.348,0.324,0.024
"Kiner-Falefa, Isiah",643396,2020,0.307,0.294,0.013
"Calhoun, Kole",594777,2020,0.362,0.379,-0.017
"La Stella, Tommy",600303,2020,0.355,0.348,0.007
